continent,country,income,life_exp,population,year
asia,Tokelau,,,1009,1800
americas,St.-Pierre-et-Miquelon,,,1782,1800
africa,St. Helena,,,1997,1800
asia,Northern Mariana Islands,,,3360,1800
americas,Montserrat,,,5230,1800
europe,Liechtenstein,,,5802,1800
europe,Isle of Man,,,23533,1800
europe,Gibraltar,,,9873,1800
americas,Falkland Is (Malvinas),,,100,1800
asia,American Samoa,,,8170,1800
africa,Western Sahara,,34.75,2788,1800
americas,Virgin Islands (U.S.),,33.4,40000,1800
africa,Reunion,,33.0,92744,1800
europe,Croatia,,36.1,1227886,1800
africa,Zambia,663.0,32.6,747000,1800
americas,Venezuela,682.0,32.2,718000,1800
asia,Vanuatu,585.0,24.3,27791,1800
asia,Uzbekistan,502.0,26.93,1919159,1800
americas,Uruguay,1758.0,32.9,55000,1800
americas,United States,2128.0,39.41,6801854,1800
europe,United Kingdom,3431.0,38.65,12327466,1800
europe,Ukraine,763.0,36.6,11215490,1800
africa,Uganda,464.0,25.3,2101397,1800
asia,Vietnam,861.0,32.0,6551000,1800
asia,Turkmenistan,943.0,24.0,367215,1800
europe,Turkey,1221.0,35.0,9773456,1800
americas,Guadeloupe,,27.66,80726,1800
africa,Tunisia,716.0,28.8,862029,1800
asia,Tonga,663.0,28.2,18658,1800
africa,Togo,682.0,31.3,445985,1800
asia,Timor-Leste,521.0,28.95,137262,1800
asia,Thailand,931.0,30.4,4665000,1800
africa,Tanzania,562.0,32.2,3019768,1800
asia,Tajikistan,556.0,24.24,466629,1800
asia,Taiwan,996.0,28.3,2000000,1800
asia,Syria,1081.0,31.1,1337000,1800
europe,Sweden,1414.0,32.16,2354189,1800
africa,Swaziland,490.0,32.3,86000,1800
americas,Suriname,1636.0,32.9,80721,1800
europe,Kosovo,,,383778,1800
asia,Yemen,877.0,23.39,2593000,1800
asia,Tuvalu,719.0,,2499,1800
americas,St. Kitts and Nevis,1164.0,,17202,1800
africa,South Sudan,507.0,26.67,1027378,1800
asia,South Korea,576.0,25.8,9395000,1800
africa,South Africa,1480.0,33.5,1440820,1800
asia,Solomon Islands,363.0,25.1,56998,1800
europe,Slovenia,1409.0,36.6,469664,1800
asia,Singapore,1021.0,29.1,30000,1800
americas,British Virgin Islands,,,6700,1800
asia,Niue,,,4538,1800
asia,Saudi Arabia,846.0,32.1,2091000,1800
africa,Senegal,497.0,25.2,1009886,1800
africa,Sao Tome and Principe,850.0,31.0,22731,1800
asia,Samoa,1400.0,25.4,47300,1800
europe,Channel Islands,,,43908,1800
africa,Rwanda,431.0,31.8,928368,1800
asia,Qatar,1097.0,30.8,14092,1800
africa,Somalia,694.0,29.4,991488,1800
europe,Portugal,1685.0,35.6,3033454,1800
asia,Maldives,842.0,32.65,42378,1800
europe,Georgia,543.0,31.87,1072178,1800
africa,Gabon,390.0,30.6,158227,1800
europe,Finland,1244.0,36.57,977662,1800
asia,Myanmar,840.0,30.8,3506000,1800
americas,Bahamas,1445.0,35.18,27350,1800
americas,St. Vincent and the Grenadines,838.0,25.99,25781,1800
africa,Egypt,791.0,33.0,4243515,1800
europe,Germany,1639.0,38.37,22886919,1800
asia,Bhutan,629.0,28.8,89989,1800
europe,Slovak Republic,1427.0,36.4,2140651,1800
americas,Argentina,1507.0,33.2,534000,1800
americas,Bolivia,854.0,33.0,1100000,1800
asia,Fiji,785.0,26.1,130533,1800
europe,Estonia,938.0,36.14,334136,1800
africa,Algeria,716.0,28.82,2503218,1800
europe,Cyprus,853.0,38.5,184392,1800
americas,Cuba,864.0,32.2,345043,1800
americas,Haiti,633.0,29.0,723000,1800
africa,Cote d'Ivoire,812.0,31.16,1088530,1800
europe,Belgium,2412.0,40.0,3138137,1800
americas,Colombia,963.0,32.0,1206000,1800
asia,United Arab Emirates,998.0,30.7,40153,1800
africa,Liberia,797.0,31.1,313543,1800
africa,Sierra Leone,734.0,25.1,794264,1800
europe,Denmark,2013.0,37.41,1062514,1800
americas,Anguilla,,,2025,1800
americas,Chile,1026.0,32.0,771447,1800
europe,France,1803.0,33.97,29355111,1800
africa,"Congo, Rep.",575.0,32.7,314465,1800
asia,"Macao, China",992.0,34.7,17311,1800
africa,"Congo, Dem. Rep.",485.0,31.6,5163819,1800
asia,Palau,839.0,,3875,1800
asia,New Caledonia,,26.0,29432,1800
europe,Austria,1848.0,34.4,3205587,1800
americas,El Salvador,974.0,28.7,248000,1800
africa,Gambia,813.0,28.8,103274,1800
americas,Costa Rica,775.0,30.21,51987,1800
europe,Switzerland,2701.0,38.0,1826051,1800
europe,Montenegro,1057.0,35.4,126582,1800
europe,Czech Republic,1915.0,34.95,5516349,1800
americas,Brazil,1109.0,32.0,3639636,1800
europe,Greenland,393.0,33.87,9584,1800
asia,Nepal,654.0,32.8,3881000,1800
europe,Greece,1371.0,36.6,2151155,1800
africa,Benin,597.0,31.0,636559,1800
europe,Azerbaijan,775.0,29.17,879960,1800
